            DANE LOSOWE
rozmiar     czas-algo_pods      czas-algo_zmien
10000           0.016839            0.030692
50000           0.094354            0.157492
100000          0.270710            0.511871
150000          0.563959            1.097985
200000          0.948431            1.886848
500000          5.811562           11.653101

            DANE NIEKORZYSTNE
rozmiar     czas-algo_pods      czas-algo_zmien
10000           0.203863            0.371239
25000           1.073855            2.108183
50000           4.137137            8.265507
70000           8.118357           16.197497
